what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks.ui",1431697569745
started,bundle,org.eclipse.wst.common.modulecore,1.1.300.v200904132230,"org.eclipse.wst.common.modulecore",1431697569761
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.0.v200906080535,"org.eclipse.wst.common.project.facet.core",1431697569761
started,bundle,org.eclipse.wst.jsdt.core,1.0.200.v200905201910,"org.eclipse.wst.jsdt.core",1431697569761
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1431697569777
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1431697569777
started,bundle,org.eclipse.wst.server.core,1.1.101.v20090515,"org.eclipse.wst.server.core",1431697569823
started,bundle,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui",1431697569855
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1431697569870
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1431697569901
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1431697569901
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1431697569933
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1431697569979
os,sysinfo,,,"win32",1431697569979
arch,sysinfo,,,"x86",1431697569979
ws,sysinfo,,,"win32",1431697569979
locale,sysinfo,,,"zh_CN",1431697569979
processors,sysinfo,,,"4",1431697569979
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1431697569979
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1431697569979
java.specification.name,sysinfo,,,"Java Platform API Specification",1431697569979
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1431697569979
java.specification.version,sysinfo,,,"1.6",1431697569979
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1431697569979
java.version,sysinfo,,,"1.6.0_21",1431697569979
