what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode, sharing",1431697569979
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1431697569979
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1431697569979
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1431697569979
java.vm.specification.version,sysinfo,,,"1.0",1431697569979
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1431697569979
java.vm.version,sysinfo,,,"17.0-b16",1431697569979
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.200.v200905120445,"org.eclipse.wst.jsdt.web.core",1431697570183
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.300.v200904230730,"org.eclipse.jst.j2ee.ejb",1431697570230
started,bundle,org.eclipse.jst.j2ee.jca,1.1.300.v200903120000,"org.eclipse.jst.j2ee.jca",1431697570230
started,bundle,org.eclipse.jst.jee.ejb,1.0.200.v200810230716,"org.eclipse.jst.jee.ejb",1431697570433
started,bundle,org.eclipse.jst.jee.web,1.0.200.v200904130912,"org.eclipse.jst.jee.web",1431697570448
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1431697572119
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1431697577631
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1431697577662
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1431697577820
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1431697577852
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.200.v20090526-2130,"org.eclipse.jdt.apt.pluggable.core",1431697577867
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1431697578086
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1431697578382
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1431697578619
started,bundle,org.eclipse.wst.sse.ui,1.1.100.v200905141750,"org.eclipse.wst.sse.ui",1431697578915
started,bundle,org.eclipse.wst.html.ui,1.0.400.v200904292008,"org.eclipse.wst.html.ui",1431697578931
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1431697578931
started,bundle,org.eclipse.jst.jsp.core,1.2.202.v200905081451,"org.eclipse.jst.jsp.core",1431697579432
